,DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%],Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
10670208,275.663621157,465,2117,0,42.305112777800005,-83.6928263889,22.0,10.1700000763,1098.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670209,275.663621157,465,2117,300,42.305112777800005,-83.6928263889,22.0,10.1700000763,1351.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670210,275.663621157,465,2117,400,42.305112777800005,-83.6928263889,22.0,14.899999618499999,1351.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670211,275.663621157,465,2117,800,42.305112777800005,-83.6928263889,23.0,14.899999618499999,1351.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670212,275.663621157,465,2117,1800,42.305112777800005,-83.6928263889,26.0,14.899999618499999,1351.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670213,275.663621157,465,2117,2300,42.305112777800005,-83.6928263889,26.0,14.899999618499999,1780.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670214,275.663621157,465,2117,2400,42.305112777800005,-83.6928263889,26.0,27.3199996948,1780.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670215,275.663621157,465,2117,2900,42.305112777800005,-83.6928263889,29.0,27.3199996948,1780.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670216,275.663621157,465,2117,3000,42.3050861111,-83.6926483333,29.0,27.3199996948,1780.0,27.0588245392,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
10670217,275.663621157,465,2117,3600,42.3050861111,-83.6926483333,29.0,27.3199996948,1780.0,47.843139648400005,20.0,,,,,,,,-3.125,5.46875,0.0,5.46875,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
