,DayNum,VehId,Trip,Timestamp(ms),Latitude[deg],Longitude[deg],Vehicle Speed[km/h],MAF[g/sec],Engine RPM[RPM],Absolute Load[%],OAT[DegC],Fuel Rate[L/hr],Air Conditioning Power[kW],Air Conditioning Power[Watts],Heater Power[Watts],HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V],Short Term Fuel Trim Bank 1[%],Short Term Fuel Trim Bank 2[%],Long Term Fuel Trim Bank 1[%],Long Term Fuel Trim Bank 2[%],Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
21842003,47.6055095926,465,988,0,42.2576838889,-83.7006791667,58.0,5.5399999618499995,1295.0,28.235294342,,,,,,,,,-3.125,-3.90625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842004,47.6055095926,465,988,800,42.2576838889,-83.7006791667,59.0,5.5399999618499995,1295.0,28.235294342,,,,,,,,,-3.125,-3.90625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842005,47.6055095926,465,988,1000,42.2576838889,-83.7006791667,59.0,5.5399999618499995,1295.0,11.764705657999999,,,,,,,,,-3.125,-3.90625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842006,47.6055095926,465,988,2000,42.2576838889,-83.7006791667,59.0,5.5399999618499995,1295.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842007,47.6055095926,465,988,2100,42.2576838889,-83.7006791667,59.0,5.5399999618499995,1257.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842008,47.6055095926,465,988,4000,42.2575261111,-83.6998866667,59.0,5.5399999618499995,1257.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842009,47.6055095926,465,988,4100,42.2575261111,-83.6998866667,59.0,5.5500001907300005,1265.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842010,47.6055095926,465,988,6200,42.2575261111,-83.6998866667,59.0,5.4600000381500005,1263.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842011,47.6055095926,465,988,7000,42.257409444400004,-83.6992994444,59.0,5.4600000381500005,1263.0,11.764705657999999,,,,,,,,,-3.125,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842012,47.6055095926,465,988,7100,42.257409444400004,-83.6992994444,59.0,5.4600000381500005,1263.0,11.764705657999999,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842013,47.6055095926,465,988,8200,42.257409444400004,-83.6992994444,59.0,5.44000005722,1253.0,11.764705657999999,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842014,47.6055095926,465,988,9900,42.2572872222,-83.69869444439999,59.0,5.44000005722,1253.0,11.764705657999999,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842015,47.6055095926,465,988,10300,42.2572872222,-83.69869444439999,58.0,5.55999994278,1248.0,11.764705657999999,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842016,47.6055095926,465,988,11300,42.2572872222,-83.69869444439999,58.0,5.55999994278,1248.0,12.1568632126,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842017,47.6055095926,465,988,11400,42.2572872222,-83.69869444439999,55.0,5.55999994278,1248.0,12.1568632126,,,,,,,,,-3.90625,-3.125,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842018,47.6055095926,465,988,12300,42.2572872222,-83.69869444439999,55.0,5.13999986649,1114.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842019,47.6055095926,465,988,12400,42.2572872222,-83.69869444439999,53.0,5.13999986649,1114.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842020,47.6055095926,465,988,13000,42.257175,-83.6981255556,53.0,5.13999986649,1114.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842021,47.6055095926,465,988,13400,42.257175,-83.6981255556,50.0,5.13999986649,1114.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842022,47.6055095926,465,988,14400,42.257175,-83.6981255556,50.0,4.71999979019,973.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842023,47.6055095926,465,988,14500,42.257175,-83.6981255556,47.0,4.71999979019,973.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842024,47.6055095926,465,988,15500,42.257175,-83.6981255556,44.0,4.71999979019,973.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842025,47.6055095926,465,988,16000,42.2570844444,-83.6976747222,44.0,4.71999979019,973.0,12.1568632126,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842026,47.6055095926,465,988,16500,42.2570844444,-83.6976747222,44.0,4.36000013351,879.0,13.333333969100002,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842027,47.6055095926,465,988,16600,42.2570844444,-83.6976747222,42.0,4.36000013351,879.0,13.333333969100002,,,,,,,,,-1.5625,-1.5625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842028,47.6055095926,465,988,17500,42.2570844444,-83.6976747222,42.0,4.36000013351,879.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842029,47.6055095926,465,988,18600,42.2570844444,-83.6976747222,42.0,4.230000019069999,868.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842030,47.6055095926,465,988,19000,42.2569963889,-83.6972533333,42.0,4.230000019069999,868.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842031,47.6055095926,465,988,19700,42.2569963889,-83.6972533333,40.0,4.230000019069999,868.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842032,47.6055095926,465,988,20700,42.2569963889,-83.6972533333,35.0,3.67000007629,715.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842033,47.6055095926,465,988,21800,42.2569963889,-83.6972533333,30.0,3.67000007629,715.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842034,47.6055095926,465,988,22000,42.2569241667,-83.69692361109999,30.0,3.67000007629,715.0,13.333333969100002,,,,,,,,,-4.6875,-5.46875,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842035,47.6055095926,465,988,22700,42.2569241667,-83.69692361109999,30.0,3.9000000953699994,796.0,13.333333969100002,,,,,,,,,-4.6875,-3.90625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842036,47.6055095926,465,988,22800,42.2569241667,-83.69692361109999,27.0,3.9000000953699994,796.0,13.333333969100002,,,,,,,,,-4.6875,-3.90625,7.8125,7.8125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842037,47.6055095926,465,988,23800,42.2569241667,-83.69692361109999,25.0,3.9000000953699994,796.0,13.333333969100002,,,,,,,,,-4.6875,-3.90625,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842038,47.6055095926,465,988,24900,42.2569241667,-83.69692361109999,21.0,3.97000002861,950.0,13.333333969100002,,,,,,,,,-4.6875,-3.90625,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842039,47.6055095926,465,988,25900,42.2568425,-83.69658249999999,18.0,3.97000002861,950.0,13.333333969100002,,,,,,,,,-4.6875,-3.90625,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842040,47.6055095926,465,988,27000,42.2568425,-83.69658249999999,15.0,4.23999977112,745.0,15.2941179276,,,,,,,,,-4.6875,-3.90625,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842041,47.6055095926,465,988,28000,42.2568425,-83.69658249999999,13.0,4.23999977112,745.0,15.2941179276,,,,,,,,,-4.6875,-4.6875,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
21842042,47.6055095926,465,988,29000,42.2567886111,-83.69640944439999,13.0,4.23999977112,745.0,15.2941179276,,,,,,,,,-4.6875,-4.6875,7.03125,7.03125,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4000
