"SECONDS";"PID";"VALUE";"UNITS"
"36427.145482";"Calculated instant fuel rate";"2.15507923102311";"L/h"
"36427.145482";"Fuel used";"0.233939643767166";"L"
"36427.145482";"Fuel used (total)";"0.290587883420263";"L"
"36427.145482";"Fuel used price";"0.236279040204837";"$"
"36427.145482";"Fuel used price (total)";"0.06";"$"
"36427.145482";"Instant engine power (based on fuel consumption)";"6.20106089733308";"hp"
"36427.145482";"MAF air flow rate";"5.95";"g/sec"
"36427.428482";"Average speed";"64.8919042758583";"km/h"
"36427.428482";"Calculated instant fuel consumption";"3.16923416326928";"L/100km"
"36427.428482";"Distance travelled";"2.11216193808333";"km"
"36427.428482";"Distance travelled (total)";"2.11216193808333";"km"
"36427.428482";"Vehicle acceleration";"-0.124033546112882";"m_sec2"
"36427.428482";"Vehicle speed";"68";"km/h"
"36427.702482";"Engine RPM";"1519";"rpm"
"36427.977482";"Oxygen sensor 1 Wide Range Current (mA)";"1.29296875";"mA"
"36427.977482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36428.539482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36428.539482";"Throttle position";"15.2941176470588";"%"
"36428.815482";"Average fuel consumption";"11.0758384359228";"L/100km"
"36428.815482";"Average fuel consumption (total)";"13.757841109662";"L/100km"
"36428.815482";"Calculated boost";"-0.709152983510793";"bar"
"36428.815482";"Calculated instant fuel rate";"0";"L/h"
"36428.815482";"Fuel used";"0.233939643767166";"L"
"36428.815482";"Fuel used (total)";"0.290587883420263";"L"
"36428.815482";"Fuel used price";"0.236279040204837";"$"
"36428.815482";"Fuel used price (total)";"0.06";"$"
"36428.815482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36428.815482";"MAF air flow rate";"5.51";"g/sec"
"36429.089482";"Average speed";"64.9212875710741";"km/h"
"36429.089482";"Calculated instant fuel consumption";"0";"L/100km"
"36429.089482";"Distance travelled";"2.14307724744444";"km"
"36429.089482";"Distance travelled (total)";"2.14307724744444";"km"
"36429.089482";"Vehicle acceleration";"-0.124602669499553";"m_sec2"
"36429.089482";"Vehicle speed";"67";"km/h"
"36429.372482";"Engine RPM";"1533";"rpm"
"36429.656482";"Oxygen sensor 1 Wide Range Current (mA)";"0.203125";"mA"
"36429.656482";"Oxygen sensor 1 Wide Range Equivalence ratio";"16.1549472";""
"36430.233482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36430.233482";"Throttle position";"15.2941176470588";"%"
"36430.506482";"Average fuel consumption";"10.9160621273046";"L/100km"
"36430.506482";"Average fuel consumption (total)";"13.5593751353004";"L/100km"
"36430.506482";"Calculated boost";"-0.7042740848382";"bar"
"36430.506482";"Calculated instant fuel rate";"0";"L/h"
"36430.506482";"Fuel used";"0.233939643767166";"L"
"36430.506482";"Fuel used (total)";"0.290587883420263";"L"
"36430.506482";"Fuel used price";"0.236279040204837";"$"
"36430.506482";"Fuel used price (total)";"0.06";"$"
"36430.506482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36430.506482";"MAF air flow rate";"5.65";"g/sec"
"36430.779482";"Average speed";"64.936498101893";"km/h"
"36430.779482";"Calculated instant fuel consumption";"0";"L/100km"
"36430.779482";"Distance travelled";"2.17407024244444";"km"
"36430.779482";"Distance travelled (total)";"2.17407024244444";"km"
"36430.779482";"Vehicle acceleration";"-0.123905189236059";"m_sec2"
"36430.779482";"Vehicle speed";"66";"km/h"
"36431.054482";"Engine RPM";"1527";"rpm"
"36431.328482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.45703125";"mA"
"36431.328482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.342896";""
"36431.875482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36431.875482";"Throttle position";"15.2941176470588";"%"
"36432.168482";"Average fuel consumption";"10.7604455090712";"L/100km"
"36432.168482";"Average fuel consumption (total)";"13.3660761159923";"L/100km"
"36432.168482";"Calculated boost";"-0.703609042880222";"bar"
"36432.168482";"Calculated instant fuel rate";"0";"L/h"
"36432.168482";"Fuel used";"0.233939643767166";"L"
"36432.168482";"Fuel used (total)";"0.290587883420263";"L"
"36432.168482";"Fuel used price";"0.236279040204837";"$"
"36432.168482";"Fuel used price (total)";"0.06";"$"
"36432.168482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36432.168482";"MAF air flow rate";"5.64";"g/sec"
"36432.441482";"Average speed";"64.9373618349584";"km/h"
"36432.441482";"Calculated instant fuel consumption";"0";"L/100km"
"36432.441482";"Distance travelled";"2.20407834827778";"km"
"36432.441482";"Distance travelled (total)";"2.20407834827778";"km"
"36432.441482";"Vehicle acceleration";"-0.123875929377302";"m_sec2"
"36432.441482";"Vehicle speed";"65";"km/h"
"36432.725482";"Engine RPM";"1475";"rpm"
"36433.008482";"Oxygen sensor 1 Wide Range Current (mA)";"2.4453125";"mA"
"36433.008482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36433.563482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36433.563482";"Throttle position";"15.2941176470588";"%"
"36433.836482";"Average fuel consumption";"10.6139440982196";"L/100km"
"36433.836482";"Average fuel consumption (total)";"13.1840995419842";"L/100km"
"36433.836482";"Calculated boost";"-0.709175433688885";"bar"
"36433.836482";"Calculated instant fuel rate";"0";"L/h"
"36433.836482";"Fuel used";"0.233939643767166";"L"
"36433.836482";"Fuel used (total)";"0.290587883420263";"L"
"36433.836482";"Fuel used price";"0.236279040204837";"$"
"36433.836482";"Fuel used price (total)";"0.06";"$"
"36433.836482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36433.836482";"MAF air flow rate";"5.35";"g/sec"
"36434.125482";"Average speed";"64.9382134709212";"km/h"
"36434.125482";"Calculated instant fuel consumption";"0";"L/100km"
"36434.125482";"Distance travelled";"2.23448381897222";"km"
"36434.125482";"Distance travelled (total)";"2.23448381897222";"km"
"36434.125482";"Vehicle acceleration";"-0.124424647985251";"m_sec2"
"36434.125482";"Vehicle speed";"65";"km/h"
"36434.401482";"Engine RPM";"1591";"rpm"
"36434.686482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.5546875";"mA"
"36434.686482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.0989936";""
"36435.253482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36435.253482";"Throttle position";"26.2745098039216";"%"
"36435.536482";"Average fuel consumption";"10.6908359746842";"L/100km"
"36435.536482";"Average fuel consumption (total)";"13.2260183363606";"L/100km"
"36435.536482";"Calculated boost";"0.452126233303027";"bar"
"36435.536482";"Calculated instant fuel rate";"10.4699039993005";"L/h"
"36435.536482";"Fuel used";"0.238884999967179";"L"
"36435.536482";"Fuel used (total)";"0.295533239620277";"L"
"36435.536482";"Fuel used price";"0.241273849966851";"$"
"36435.536482";"Fuel used price (total)";"0.06";"$"
"36435.536482";"Instant engine power (based on fuel consumption)";"30.1262762659873";"hp"
"36435.536482";"MAF air flow rate";"27.81";"g/sec"
"36435.811482";"Average speed";"65.0061601502083";"km/h"
"36435.811482";"Calculated instant fuel consumption";"14.9570057132865";"L/100km"
"36435.811482";"Distance travelled";"2.26725674758333";"km"
"36435.811482";"Distance travelled (total)";"2.26725674758333";"km"
"36435.811482";"Vehicle speed";"70";"km/h"
"36436.086482";"Engine RPM";"1788";"rpm"
"36436.360482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.33984375";"mA"
"36436.360482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.6728816";""
"36436.909482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36436.909482";"Throttle position";"21.5686274509804";"%"
"36437.181482";"Average fuel consumption";"10.5845103192011";"L/100km"
"36437.181482";"Average fuel consumption (total)";"13.0830469191464";"L/100km"
"36437.181482";"Calculated boost";"-0.702390353906838";"bar"
"36437.181482";"Calculated instant fuel rate";"2.39129478097425";"L/h"
"36437.181482";"Fuel used";"0.239978024410742";"L"
"36437.181482";"Fuel used (total)";"0.29662626406384";"L"
"36437.181482";"Fuel used price";"0.24237780465485";"$"
"36437.181482";"Fuel used price (total)";"0.06";"$"
"36437.181482";"Instant engine power (based on fuel consumption)";"6.88075145768834";"hp"
"36437.181482";"MAF air flow rate";"6.63";"g/sec"
"36437.465482";"Average speed";"65.1230857926766";"km/h"
"36437.465482";"Calculated instant fuel consumption";"3.23147943374899";"L/100km"
"36437.465482";"Distance travelled";"2.30125257780556";"km"
"36437.465482";"Distance travelled (total)";"2.30125257780556";"km"
"36437.465482";"Vehicle speed";"74";"km/h"
"36437.740482";"Engine RPM";"1701";"rpm"
"36438.014482";"Oxygen sensor 1 Wide Range Current (mA)";"0.359375";"mA"
"36438.014482";"Oxygen sensor 1 Wide Range Equivalence ratio";"17.4748896";""
"36438.570482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36438.570482";"Throttle position";"16.8627450980392";"%"
"36438.854482";"Average fuel consumption";"10.428147988848";"L/100km"
"36438.854482";"Average fuel consumption (total)";"12.8897743309298";"L/100km"
"36438.854482";"Calculated boost";"-0.614535029570406";"bar"
"36438.854482";"Calculated instant fuel rate";"0";"L/h"
"36438.854482";"Fuel used";"0.239978024410742";"L"
"36438.854482";"Fuel used (total)";"0.29662626406384";"L"
"36438.854482";"Fuel used price";"0.24237780465485";"$"
"36438.854482";"Fuel used price (total)";"0.06";"$"
"36438.854482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36438.854482";"MAF air flow rate";"8.09";"g/sec"
"36439.134482";"Average speed";"65.2639365665038";"km/h"
"36439.134482";"Calculated instant fuel consumption";"0";"L/100km"
"36439.134482";"Distance travelled";"2.33648614402778";"km"
"36439.134482";"Distance travelled (total)";"2.33648614402778";"km"
"36439.134482";"Vehicle acceleration";"0.456579674723873";"m_sec2"
"36439.134482";"Vehicle speed";"76";"km/h"
"36439.419482";"Engine RPM";"1832";"rpm"
"36439.702482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.30859375";"mA"
"36439.702482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.7589648";""
"36440.246482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36440.246482";"Throttle position";"23.1372549019608";"%"
"36440.529482";"Average fuel consumption";"10.4531153566958";"L/100km"
"36440.529482";"Average fuel consumption (total)";"12.8776210529052";"L/100km"
"36440.529482";"Calculated boost";"0.155021224435384";"bar"
"36440.529482";"Calculated instant fuel rate";"9.15049727164167";"L/h"
"36440.529482";"Fuel used";"0.244235591928437";"L"
"36440.529482";"Fuel used (total)";"0.300883831581535";"L"
"36440.529482";"Fuel used price";"0.246677947847721";"$"
"36440.529482";"Fuel used price (total)";"0.06";"$"
"36440.529482";"Instant engine power (based on fuel consumption)";"26.3297933577096";"hp"
"36440.529482";"MAF air flow rate";"25.53";"g/sec"
"36440.802482";"Average speed";"65.4522386535019";"km/h"
"36440.802482";"Calculated instant fuel consumption";"11.4381215895521";"L/100km"
"36440.802482";"Distance travelled";"2.37355762625";"km"
"36440.802482";"Distance travelled (total)";"2.37355762625";"km"
"36440.802482";"Vehicle acceleration";"0.624079398636293";"m_sec2"
"36440.802482";"Vehicle speed";"80";"km/h"
"36441.086482";"Engine RPM";"1955";"rpm"
"36441.370482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.16015625";"mA"
"36441.370482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.1893808";""
"36441.926482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36441.926482";"Throttle position";"16.4705882352941";"%"
"36442.209482";"Average fuel consumption";"10.3408284357099";"L/100km"
"36442.209482";"Average fuel consumption (total)";"12.7274669157116";"L/100km"
"36442.209482";"Calculated boost";"-0.693352828558037";"bar"
"36442.209482";"Calculated instant fuel rate";"2.59271645566735";"L/h"
"36442.209482";"Fuel used";"0.245445521953221";"L"
"36442.209482";"Fuel used (total)";"0.302093761606319";"L"
"36442.209482";"Fuel used price";"0.247899977172753";"$"
"36442.209482";"Fuel used price (total)";"0.06";"$"
"36442.209482";"Instant engine power (based on fuel consumption)";"7.46032554147817";"hp"
"36442.209482";"MAF air flow rate";"7.46";"g/sec"
"36442.492482";"Average speed";"65.6510048763251";"km/h"
"36442.492482";"Calculated instant fuel consumption";"3.20088451316957";"L/100km"
"36442.492482";"Distance travelled";"2.41159621175";"km"
"36442.492482";"Distance travelled (total)";"2.41159621175";"km"
"36442.492482";"Vehicle acceleration";"0.457323266301217";"m_sec2"
"36442.492482";"Vehicle speed";"81";"km/h"
"36442.776482";"Engine RPM";"1886";"rpm"
"36443.059482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.05078125";"mA"
"36443.059482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.5480608";""
"36443.605482";"Fuel economizer (based on fuel system status and throttle position)";"2";""
"36443.605482";"Throttle position";"25.8823529411765";"%"
"36443.878482";"Average fuel consumption";"10.3739427089451";"L/100km"
"36443.878482";"Average fuel consumption (total)";"12.7229362667012";"L/100km"
"36443.878482";"Calculated boost";"0.325154540852006";"bar"
"36443.878482";"Calculated instant fuel rate";"10.2066985610121";"L/h"
"36443.878482";"Fuel used";"0.250177609378036";"L"
"36443.878482";"Fuel used (total)";"0.306825849031134";"L"
"36443.878482";"Fuel used price";"0.252679385471816";"$"
"36443.878482";"Fuel used price (total)";"0.06";"$"
"36443.878482";"Instant engine power (based on fuel consumption)";"29.3689245510989";"hp"
"36443.878482";"MAF air flow rate";"30.11";"g/sec"
"36444.156482";"Average speed";"65.8665555934207";"km/h"
"36444.156482";"Calculated instant fuel consumption";"12.2972271819423";"L/100km"
"36444.156482";"Distance travelled";"2.44995324383333";"km"
"36444.156482";"Distance travelled (total)";"2.44995324383333";"km"
"36444.156482";"Vehicle acceleration";"0.373610598226784";"m_sec2"
"36444.156482";"Vehicle speed";"83";"km/h"
"36444.440482";"Engine RPM";"1939";"rpm"
"36444.723482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.31640625";"mA"
"36444.723482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.7302704";""
"36445.310482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36445.310482";"Throttle position";"20.3921568627451";"%"
"36445.594482";"Average fuel consumption";"10.2821136206496";"L/100km"
"36445.594482";"Average fuel consumption (total)";"12.5943307944134";"L/100km"
"36445.594482";"Calculated boost";"-0.576571410340638";"bar"
"36445.594482";"Calculated instant fuel rate";"3.62762114124731";"L/h"
"36445.594482";"Fuel used";"0.251906976183734";"L"
"36445.594482";"Fuel used (total)";"0.308555215836831";"L"
"36445.594482";"Fuel used price";"0.254426045945571";"$"
"36445.594482";"Fuel used price (total)";"0.06";"$"
"36445.594482";"Instant engine power (based on fuel consumption)";"10.4381775321774";"hp"
"36445.594482";"MAF air flow rate";"10.1";"g/sec"
"36445.878482";"Average speed";"66.0967830660645";"km/h"
"36445.878482";"Calculated instant fuel consumption";"4.31859659672299";"L/100km"
"36445.878482";"Distance travelled";"2.49013221016667";"km"
"36445.878482";"Distance travelled (total)";"2.49013221016667";"km"
"36445.878482";"Vehicle acceleration";"0.329495869573225";"m_sec2"
"36445.878482";"Vehicle speed";"84";"km/h"
"36446.162482";"Engine RPM";"1938";"rpm"
"36446.437482";"Oxygen sensor 1 Wide Range Current (mA)";"0.109375";"mA"
"36446.437482";"Oxygen sensor 1 Wide Range Equivalence ratio";"15.494976";""
"36446.989482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36446.989482";"Throttle position";"21.9607843137255";"%"
"36447.261482";"Average fuel consumption";"10.2117953476241";"L/100km"
"36447.261482";"Average fuel consumption (total)";"12.4867042629746";"L/100km"
"36447.261482";"Calculated boost";"-0.314636315718232";"bar"
"36447.261482";"Calculated instant fuel rate";"5.13997799134625";"L/h"
"36447.261482";"Fuel used";"0.254287205187488";"L"
"36447.261482";"Fuel used (total)";"0.310935444840585";"L"
"36447.261482";"Fuel used price";"0.256830077239363";"$"
"36447.261482";"Fuel used price (total)";"0.06";"$"
"36447.261482";"Instant engine power (based on fuel consumption)";"14.7898583385996";"hp"
"36447.261482";"MAF air flow rate";"16.15";"g/sec"
"36447.545482";"Average speed";"66.3263137594175";"km/h"
"36447.545482";"Calculated instant fuel consumption";"6.04703293099559";"L/100km"
"36447.545482";"Distance travelled";"2.52949371738889";"km"
"36447.545482";"Distance travelled (total)";"2.52949371738889";"km"
"36447.545482";"Vehicle acceleration";"0.205965439302466";"m_sec2"
"36447.545482";"Vehicle speed";"85";"km/h"
"36447.830482";"Engine RPM";"1968";"rpm"
"36448.113482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.1015625";"mA"
"36448.113482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.3758944";""
"36448.668482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36448.668482";"Throttle position";"16.8627450980392";"%"
"36448.940482";"Average fuel consumption";"10.1005836330978";"L/100km"
"36448.940482";"Average fuel consumption (total)";"12.3400926409152";"L/100km"
"36448.940482";"Calculated boost";"-0.692058098811919";"bar"
"36448.940482";"Calculated instant fuel rate";"2.58652161801047";"L/h"
"36448.940482";"Fuel used";"0.25549362841882";"L"
"36448.940482";"Fuel used (total)";"0.312141868071918";"L"
"36448.940482";"Fuel used price";"0.258048564703008";"$"
"36448.940482";"Fuel used price (total)";"0.06";"$"
"36448.940482";"Instant engine power (based on fuel consumption)";"7.44250041235695";"hp"
"36448.940482";"MAF air flow rate";"7.54";"g/sec"
"36449.220482";"Average speed";"66.5392881995048";"km/h"
"36449.220482";"Calculated instant fuel consumption";"3.07919240239341";"L/100km"
"36449.220482";"Distance travelled";"2.56856814905556";"km"
"36449.220482";"Distance travelled (total)";"2.56856814905556";"km"
"36449.220482";"Vehicle speed";"84";"km/h"
"36449.494482";"Engine RPM";"1906";"rpm"
"36449.777482";"Oxygen sensor 1 Wide Range Current (mA)";"2.38671875";"mA"
"36449.777482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36450.332482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36450.332482";"Throttle position";"16.4705882352941";"%"
"36450.606482";"Average fuel consumption";"9.94692815578062";"L/100km"
"36450.606482";"Average fuel consumption (total)";"12.1523685554806";"L/100km"
"36450.606482";"Calculated boost";"-0.686888182327132";"bar"
"36450.606482";"Calculated instant fuel rate";"0";"L/h"
"36450.606482";"Fuel used";"0.25549362841882";"L"
"36450.606482";"Fuel used (total)";"0.312141868071918";"L"
"36450.606482";"Fuel used price";"0.258048564703008";"$"
"36450.606482";"Fuel used price (total)";"0.06";"$"
"36450.606482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36450.606482";"MAF air flow rate";"7.42";"g/sec"
"36450.889482";"Average speed";"66.7228310567807";"km/h"
"36450.889482";"Calculated instant fuel consumption";"0";"L/100km"
"36450.889482";"Distance travelled";"2.60659773777778";"km"
"36450.889482";"Distance travelled (total)";"2.60659773777778";"km"
"36450.889482";"Vehicle speed";"82";"km/h"
"36451.174482";"Engine RPM";"1909";"rpm"
"36451.458482";"Oxygen sensor 1 Wide Range Current (mA)";"0.37109375";"mA"
"36451.458482";"Oxygen sensor 1 Wide Range Equivalence ratio";"17.5609728";""
"36452.003482";"Fuel economizer (based on fuel system status and throttle position)";"2";""
"36452.003482";"Throttle position";"20.7843137254902";"%"
"36452.285482";"Average fuel consumption";"9.87180336305442";"L/100km"
"36452.285482";"Average fuel consumption (total)";"12.0450669561316";"L/100km"
"36452.285482";"Calculated boost";"-0.401514727791827";"bar"
"36452.285482";"Calculated instant fuel rate";"3.91184994096448";"L/h"
"36452.285482";"Fuel used";"0.257318203139247";"L"
"36452.285482";"Fuel used (total)";"0.313966442792345";"L"
"36452.285482";"Fuel used price";"0.25989138517064";"$"
"36452.285482";"Fuel used price (total)";"0.06";"$"
"36452.285482";"Instant engine power (based on fuel consumption)";"11.2560222176302";"hp"
"36452.285482";"MAF air flow rate";"13.93";"g/sec"
"36452.582482";"Average speed";"66.9045632441714";"km/h"
"36452.582482";"Calculated instant fuel consumption";"4.77054870849327";"L/100km"
"36452.582482";"Distance travelled";"2.64516362472222";"km"
"36452.582482";"Distance travelled (total)";"2.64516362472222";"km"
"36452.582482";"Vehicle acceleration";"-0.082870240754408";"m_sec2"
"36452.582482";"Vehicle speed";"82";"km/h"
"36452.865482";"Engine RPM";"1928";"rpm"
"36453.149482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.21875";"mA"
"36453.149482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.0028672";""
"36453.694482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36453.694482";"Throttle position";"17.2549019607843";"%"
"36453.981482";"Average fuel consumption";"9.78359209767241";"L/100km"
"36453.981482";"Average fuel consumption (total)";"11.9251699994571";"L/100km"
"36453.981482";"Calculated boost";"-0.627128245865845";"bar"
"36453.981482";"Calculated instant fuel rate";"3.12734386439927";"L/h"
"36453.981482";"Fuel used";"0.258792019358828";"L"
"36453.981482";"Fuel used (total)";"0.315440259011926";"L"
"36453.981482";"Fuel used price";"0.261379939552417";"$"
"36453.981482";"Fuel used price (total)";"0.06";"$"
"36453.981482";"Instant engine power (based on fuel consumption)";"8.99867135782021";"hp"
"36453.981482";"MAF air flow rate";"8.88";"g/sec"
"36454.256482";"Average speed";"67.0567264895369";"km/h"
"36454.256482";"Calculated instant fuel consumption";"3.90917983049909";"L/100km"
"36454.256482";"Distance travelled";"2.68234711361111";"km"
"36454.256482";"Distance travelled (total)";"2.68234711361111";"km"
"36454.256482";"Vehicle acceleration";"-0.206969213733461";"m_sec2"
"36454.256482";"Vehicle speed";"80";"km/h"
"36454.541482";"Engine RPM";"1859";"rpm"
"36454.824482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.51171875";"mA"
"36454.824482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.199424";""
"36455.380482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36455.380482";"Throttle position";"16.4705882352941";"%"
"36455.653482";"Average fuel consumption";"9.69226459233456";"L/100km"
"36455.653482";"Average fuel consumption (total)";"11.8041553079562";"L/100km"
"36455.653482";"Calculated boost";"-0.704341743690364";"bar"
"36455.653482";"Calculated instant fuel rate";"2.55926485260328";"L/h"
"36455.653482";"Fuel used";"0.259980179536038";"L"
"36455.653482";"Fuel used (total)";"0.316628419189135";"L"
"36455.653482";"Fuel used price";"0.262579981331398";"$"
"36455.653482";"Fuel used price (total)";"0.06";"$"
"36455.653482";"Instant engine power (based on fuel consumption)";"7.3640713412949";"hp"
"36455.653482";"MAF air flow rate";"6.85";"g/sec"
"36455.926482";"Average speed";"67.1821812549297";"km/h"
"36455.926482";"Calculated instant fuel consumption";"3.28110878538882";"L/100km"
"36455.926482";"Distance travelled";"2.71853099727778";"km"
"36455.926482";"Distance travelled (total)";"2.71853099727778";"km"
"36455.926482";"Vehicle acceleration";"-0.248532521089289";"m_sec2"
"36455.926482";"Vehicle speed";"78";"km/h"
"36456.200482";"Engine RPM";"1760";"rpm"
"36456.482482";"Oxygen sensor 1 Wide Range Current (mA)";"2.1796875";"mA"
"36456.482482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36457.027482";"Fuel economizer (based on fuel system status and throttle position)";"2";""
"36457.027482";"Throttle position";"21.5686274509804";"%"
"36457.299482";"Average fuel consumption";"9.62505682007952";"L/100km"
"36457.299482";"Average fuel consumption (total)";"11.7088380868675";"L/100km"
"36457.299482";"Calculated boost";"0.0294309237905387";"bar"
"36457.299482";"Calculated instant fuel rate";"3.67396423582746";"L/h"
"36457.299482";"Fuel used";"0.261660153159461";"L"
"36457.299482";"Fuel used (total)";"0.318308392812558";"L"
"36457.299482";"Fuel used price";"0.264276754691055";"$"
"36457.299482";"Fuel used price (total)";"0.06";"$"
"36457.299482";"Instant engine power (based on fuel consumption)";"10.5715259249072";"hp"
"36457.299482";"MAF air flow rate";"21.89";"g/sec"
"36457.580482";"Average speed";"67.2699535782864";"km/h"
"36457.580482";"Calculated instant fuel consumption";"4.89861898110327";"L/100km"
"36457.580482";"Distance travelled";"2.75299062227778";"km"
"36457.580482";"Distance travelled (total)";"2.75299062227778";"km"
"36457.580482";"Vehicle acceleration";"-0.290621782547004";"m_sec2"
"36457.580482";"Vehicle speed";"75";"km/h"
"36457.857482";"Engine RPM";"1921";"rpm"
"36458.129482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.2734375";"mA"
"36458.129482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.845048";""
"36458.674482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36458.674482";"Throttle position";"23.5294117647059";"%"
"36458.952482";"Average fuel consumption";"9.61191185803001";"L/100km"
"36458.952482";"Average fuel consumption (total)";"11.6696101006135";"L/100km"
"36458.952482";"Calculated boost";"-0.224663892245401";"bar"
"36458.952482";"Calculated instant fuel rate";"6.43640446512885";"L/h"
"36458.952482";"Fuel used";"0.264615032073172";"L"
"36458.952482";"Fuel used (total)";"0.321263271726269";"L"
"36458.952482";"Fuel used price";"0.267261182393904";"$"
"36458.952482";"Fuel used price (total)";"0.06";"$"
"36458.952482";"Instant engine power (based on fuel consumption)";"18.5202174813695";"hp"
"36458.952482";"MAF air flow rate";"18.07";"g/sec"
"36459.224482";"Average speed";"67.3552719146737";"km/h"
"36459.224482";"Calculated instant fuel consumption";"8.5818726201718";"L/100km"
"36459.224482";"Distance travelled";"2.78724636186111";"km"
"36459.224482";"Distance travelled (total)";"2.78724636186111";"km"
"36459.224482";"Vehicle acceleration";"-0.2927381835584";"m_sec2"
"36459.224482";"Vehicle speed";"75";"km/h"
"36459.498482";"Engine RPM";"1879";"rpm"
"36459.782482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.3125";"mA"
"36459.782482";"Oxygen sensor 1 Wide Range Equivalence ratio";"13.7446176";""
"36460.338482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36460.338482";"Throttle position";"26.2745098039216";"%"
"36460.621482";"Average fuel consumption";"9.57019381703863";"L/100km"
"36460.621482";"Average fuel consumption (total)";"11.6026025925325";"L/100km"
"36460.621482";"Calculated boost";"-0.442163986664824";"bar"
"36460.621482";"Calculated instant fuel rate";"4.59258231172855";"L/h"
"36460.621482";"Fuel used";"0.266744878988466";"L"
"36460.621482";"Fuel used (total)";"0.323393118641564";"L"
"36460.621482";"Fuel used price";"0.269412327778351";"$"
"36460.621482";"Fuel used price (total)";"0.06";"$"
"36460.621482";"Instant engine power (based on fuel consumption)";"13.2147728868063";"hp"
"36460.621482";"MAF air flow rate";"12.8";"g/sec"
"36460.894482";"Average speed";"67.4400356337881";"km/h"
"36460.894482";"Calculated instant fuel consumption";"6.12344308230473";"L/100km"
"36460.894482";"Distance travelled";"2.82204453477778";"km"
"36460.894482";"Distance travelled (total)";"2.82204453477778";"km"
"36460.894482";"Vehicle acceleration";"-0.209211736004474";"m_sec2"
"36460.894482";"Vehicle speed";"75";"km/h"
"36461.179482";"Engine RPM";"1743";"rpm"
"36461.454482";"Oxygen sensor 1 Wide Range Current (mA)";"-0.02734375";"mA"
"36461.454482";"Oxygen sensor 1 Wide Range Equivalence ratio";"14.6484912";""
"36462.010482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36462.010482";"Throttle position";"21.5686274509804";"%"
"36462.291482";"Average fuel consumption";"9.55518244021444";"L/100km"
"36462.291482";"Average fuel consumption (total)";"11.5625299131188";"L/100km"
"36462.291482";"Calculated boost";"-0.118158732221432";"bar"
"36462.291482";"Calculated instant fuel rate";"6.26517374470303";"L/h"
"36462.291482";"Fuel used";"0.269651503842117";"L"
"36462.291482";"Fuel used (total)";"0.326299743495215";"L"
"36462.291482";"Fuel used price";"0.272348018880539";"$"
"36462.291482";"Fuel used price (total)";"0.06";"$"
