"SECONDS";"PID";"VALUE";"UNITS"
"36274.652482";"Fuel economizer (based on fuel system status and throttle position)";"1";""
"36274.652482";"Throttle position";"15.6862745098039";"%"
"36274.928482";"Average fuel consumption";"22.93084370754";"L/100km"
"36274.928482";"Average fuel consumption (total)";"68.7385854706059";"L/100km"
"36274.928482";"Calculated boost";"-0.64071458218438";"bar"
"36274.928482";"Calculated instant fuel rate";"2.36625453020601";"L/h"
"36274.928482";"Fuel used";"0.0283574758282411";"L"
"36274.928482";"Fuel used (total)";"0.0850057154813386";"L"
"36274.928482";"Fuel used price";"0.0286410505865235";"$"
"36274.928482";"Fuel used price (total)";"0.06";"$"
"36274.928482";"Instant engine power (based on fuel consumption)";"6.80870022279028";"hp"
"36274.928482";"MAF air flow rate";"7.07";"g/sec"
"36275.207482";"Average speed";"45.9339498767934";"km/h"
"36275.207482";"Calculated instant fuel consumption";"4.30228096401093";"L/100km"
"36275.207482";"Distance travelled";"0.149494251083333";"km"
"36275.207482";"Distance travelled (total)";"0.149494251083333";"km"
"36275.207482";"Vehicle acceleration";"0.785850722989696";"m_sec2"
"36275.207482";"Vehicle speed";"55";"km/h"
"36275.485482";"Engine RPM";"1583";"rpm"
"36275.763482";"Oxygen sensor 1 Wide Range Current (mA)";"1.6953125";"mA"
"36275.763482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36278.257482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36278.257482";"Throttle position";"16.078431372549";"%"
"36278.531482";"Average fuel consumption";"18.9689406935345";"L/100km"
"36278.531482";"Average fuel consumption (total)";"56.8621969509406";"L/100km"
"36278.531482";"Calculated boost";"-0.687553917245771";"bar"
"36278.531482";"Calculated instant fuel rate";"0";"L/h"
"36278.531482";"Fuel used";"0.0283574758282411";"L"
"36278.531482";"Fuel used (total)";"0.0850057154813386";"L"
"36278.531482";"Fuel used price";"0.0286410505865235";"$"
"36278.531482";"Fuel used price (total)";"0.06";"$"
"36278.531482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36278.531482";"MAF air flow rate";"6.15";"g/sec"
"36278.808482";"Average speed";"47.8303272116868";"km/h"
"36278.808482";"Calculated instant fuel consumption";"0";"L/100km"
"36278.808482";"Distance travelled";"0.203513307083333";"km"
"36278.808482";"Distance travelled (total)";"0.203513307083333";"km"
"36278.808482";"Vehicle speed";"54";"km/h"
"36279.086482";"Engine RPM";"1535";"rpm"
"36279.364482";"Oxygen sensor 1 Wide Range Current (mA)";"2.5234375";"mA"
"36279.364482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36279.916482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36279.916482";"Throttle position";"15.6862745098039";"%"
"36280.194482";"Average fuel consumption";"13.9339663998627";"L/100km"
"36280.194482";"Average fuel consumption (total)";"41.769119031873";"L/100km"
"36280.194482";"Calculated boost";"-0.673546251499732";"bar"
"36280.194482";"Calculated instant fuel rate";"0";"L/h"
"36280.194482";"Fuel used";"0.0283574758282411";"L"
"36280.194482";"Fuel used (total)";"0.0850057154813386";"L"
"36280.194482";"Fuel used price";"0.0286410505865235";"$"
"36280.194482";"Fuel used price (total)";"0.06";"$"
"36280.194482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36280.194482";"MAF air flow rate";"6.22";"g/sec"
"36280.470482";"Average speed";"48.4342630285933";"km/h"
"36280.470482";"Calculated instant fuel consumption";"0";"L/100km"
"36280.470482";"Distance travelled";"0.228445444583333";"km"
"36280.470482";"Distance travelled (total)";"0.228445444583333";"km"
"36280.470482";"Vehicle speed";"54";"km/h"
"36280.746482";"Engine RPM";"1530";"rpm"
"36281.024482";"Oxygen sensor 1 Wide Range Current (mA)";"2.4921875";"mA"
"36281.024482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36281.576482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36281.576482";"Throttle position";"15.6862745098039";"%"
"36281.853482";"Average fuel consumption";"12.4132376025107";"L/100km"
"36281.853482";"Average fuel consumption (total)";"37.2105102101652";"L/100km"
"36281.853482";"Calculated boost";"-0.669696447023789";"bar"
"36281.853482";"Calculated instant fuel rate";"0";"L/h"
"36281.853482";"Fuel used";"0.0283574758282411";"L"
"36281.853482";"Fuel used (total)";"0.0850057154813386";"L"
"36281.853482";"Fuel used price";"0.0286410505865235";"$"
"36281.853482";"Fuel used price (total)";"0.06";"$"
"36281.853482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36281.853482";"MAF air flow rate";"6.27";"g/sec"
"36282.131482";"Average speed";"48.6628372549267";"km/h"
"36282.131482";"Calculated instant fuel consumption";"0";"L/100km"
"36282.131482";"Distance travelled";"0.251970293916667";"km"
"36282.131482";"Distance travelled (total)";"0.251970293916667";"km"
"36282.131482";"Vehicle acceleration";"-0.0967349317728333";"m_sec2"
"36282.131482";"Vehicle speed";"51";"km/h"
"36282.408482";"Engine RPM";"1430";"rpm"
"36282.690482";"Oxygen sensor 1 Wide Range Current (mA)";"2.55078125";"mA"
"36282.690482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36283.243482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36283.243482";"Throttle position";"15.2941176470588";"%"
"36283.520482";"Average fuel consumption";"11.254293269039";"L/100km"
"36283.520482";"Average fuel consumption (total)";"33.7364036688596";"L/100km"
"36283.520482";"Calculated boost";"-0.694916659665734";"bar"
"36283.520482";"Calculated instant fuel rate";"0";"L/h"
"36283.520482";"Fuel used";"0.0283574758282411";"L"
"36283.520482";"Fuel used (total)";"0.0850057154813386";"L"
"36283.520482";"Fuel used price";"0.0286410505865235";"$"
"36283.520482";"Fuel used price (total)";"0.06";"$"
"36283.520482";"Instant engine power (based on fuel consumption)";"0";"hp"
"36283.520482";"MAF air flow rate";"5.43";"g/sec"
"36283.796482";"Average speed";"48.3624554476662";"km/h"
"36283.796482";"Calculated instant fuel consumption";"0";"L/100km"
"36283.796482";"Distance travelled";"0.272785556416667";"km"
"36283.796482";"Distance travelled (total)";"0.272785556416667";"km"
"36283.796482";"Vehicle acceleration";"-0.323403671199824";"m_sec2"
"36283.796482";"Vehicle speed";"45";"km/h"
"36284.074482";"Engine RPM";"1239";"rpm"
"36284.350482";"Oxygen sensor 1 Wide Range Current (mA)";"2.5390625";"mA"
"36284.350482";"Oxygen sensor 1 Wide Range Equivalence ratio";"29.38261725";""
"36284.902482";"Fuel economizer (based on fuel system status and throttle position)";"0";""
"36284.902482";"Throttle position";"14.5098039215686";"%"
